model,subset,include_m1,include_m2,n_features,best_params,cv_logloss,cv_brier,cv_auc,train_logloss,overfit_gap
RandomForest,economic_core,False,False,8,"{""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.14214187773345258,0.030147703517541147,0.9765556045895852,0.06812475544111252,0.07401712229234006
RandomForest,economic_core,True,True,10,"{""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.1517667505272168,0.03303271408561523,0.9707634598411297,0.05754549648114534,0.09422125404607146
RandomForest,minimal,False,False,5,"{""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.15784151111767075,0.03428569029703058,0.9733009708737864,0.07141540179839505,0.0864261093192757
Logit_L2,economic_core,False,False,8,"{""C"": 0.1, ""penalty"": ""l2""}",0.15944273311171128,0.035141429254562796,0.9800308914386584,0.16765645677405883,-0.008213723662347544
Logit_L2,full,False,False,18,"{""C"": 0.1, ""penalty"": ""l2""}",0.19162451030046004,0.04789030904505148,0.9696969696969698,0.14096840999086302,0.050656100309597024
Logit_L1,economic_core,False,False,8,"{""C"": 0.1, ""penalty"": ""l1""}",0.19634952059479238,0.0449982323555334,0.9767210944395411,0.23300680919747974,-0.036657288602687355
Logit_L1,economic_core,True,True,10,"{""C"": 0.1, ""penalty"": ""l1""}",0.19635861633901153,0.04500239312495842,0.9767210944395411,0.2330080917745903,-0.03664947543557878
RandomForest,full,False,False,18,"{""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.19823735032248044,0.04686231193109638,0.9317051108095884,0.04241646068682732,0.1558208896356531
RandomForest,full,True,True,20,"{""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.19933180272545267,0.04787000220872454,0.9326662143826322,0.046336054537137725,0.15299574818831496
RandomForest,minimal,True,True,7,"{""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.19945099028240862,0.049564637935238534,0.9720873786407767,0.08271124646299662,0.116739743819412
Logit_L2,full,True,True,20,"{""C"": 0.1, ""penalty"": ""l2""}",0.20114232436945986,0.05040661131586173,0.9667571234735414,0.14088236536960652,0.06025995899985334
Logit_L2,minimal,False,False,5,"{""C"": 0.1, ""penalty"": ""l2""}",0.20202016592485347,0.04721948093639171,0.9689982347749339,0.24167590554731974,-0.03965573962246627
Logit_L1,full,True,True,20,"{""C"": 0.1, ""penalty"": ""l1""}",0.21398467345042832,0.052626348034349346,0.9717322478516509,0.22855236212522997,-0.014567688674801654
Logit_L1,full,False,False,18,"{""C"": 0.1, ""penalty"": ""l1""}",0.21400409559896383,0.05263083829809501,0.9717322478516509,0.22856222686642447,-0.014558131267460639
Logit_L1,minimal,False,False,5,"{""C"": 0.1, ""penalty"": ""l1""}",0.24037467122970216,0.05558949020510415,0.9539938217122684,0.2533993893518752,-0.013024718122173068
Logit_L1,minimal,True,True,7,"{""C"": 0.1, ""penalty"": ""l1""}",0.26135444284974246,0.06483955957479542,0.9282877316857898,0.25213348167450744,0.00922096117523502
GBM,economic_core,True,True,10,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 150}",0.2659055701978611,0.06184300602870133,0.9609995586937335,0.00220117039737118,0.26370439980048993
Logit_L2,economic_core,True,True,10,"{""C"": 0.1, ""penalty"": ""l2""}",0.27641638107143807,0.06222797893072009,0.8478596646072374,0.16581760750859884,0.11059877356283923
GBM,economic_core,False,False,8,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 150}",0.28578735888565704,0.06467654892154875,0.9608892321270962,0.00208151768095304,0.283705841204704
GBM,minimal,True,True,7,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 150}",0.29220834633386833,0.06589321587592115,0.9611098852603708,0.0019506006905299507,0.2902577456433384
GBM,minimal,False,False,5,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 150}",0.2931435177103369,0.06574647129841736,0.9611098852603707,0.0022989095594688506,0.29084460815086804
GBM,full,False,False,18,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 150}",0.32267200018776054,0.04296947503266653,0.867141564902759,0.0008033607547795193,0.32186863943298105
GBM,full,True,True,20,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 150}",0.3297512688236109,0.04594157098187052,0.8653324287652646,0.0008283346487074307,0.3289229341749035
Logit_L2,minimal,True,True,7,"{""C"": 0.1, ""penalty"": ""l2""}",0.7786366837949144,0.10260136960537898,0.7016769638128861,0.22028844420522384,0.5583482395896905
